Field Number,Element Label,Starting,Ending,Length,Type
1,“As of” Date,1,4,4,N
2,Metropolitan Statistical Area (MSA) Code,5,8,4,N
3,FIPS State Code,9,10,2,N
4,FIPS Country Code,11,13,3,N
5,Census tract-BNA,14,19,6,N
6,Central City Flag,20,20,1,AN
7,Small or Untracted County Flag,21,21,1,AN
8,Split Tract Flag,22,22,1,AN
9,Demographic Data Flag,23,23,1,AN
10,Minority Percentage,24,29,6,N
11,Decennial MSA Median Family Income Percentage,30,35,6,N
12,HUD Estimated MSA Median Family Income,36,43,8,N
13,Persons/Population,44,51,8,N
14,"Families, count",52,59,8,N
15,"Households,count",60,67,8,N
16,Female Population,68,75,8,N
17,Male Population,76,83,8,N
18,Minority Population,84,91,8,N
19,White,92,99,8,N
20,Black,100,107,8,N
21,"American Indian, Eskimo, Aleut",108,115,8,N
22,Asian or Pacific Islander,116,123,8,N
23,Other,124,131,8,N
24,White,132,139,8,N
25,Black,140,147,8,N
26,"American Indian, Eskimo, Aleut",148,155,8,N
27,Asian or Pacific Islander,156,163,8,N
28,Other,164,171,8,N
29,Hispanic,172,179,8,N
30,Under 16,180,187,8,N
31,16 – 17,188,195,8,N
32,18 – 24,196,203,8,N
33,25 – 61,204,211,8,N
34,62 – 64,212,219,8,N
35,65 and over,220,227,8,N
36,"All Ages, Count",228,235,8,N
37,Median Age,236,243,8,N
38,18-64   Speak English Not Well/At All,244,251,8,N
39,65 and Older   Speak English Not Well/At All,252,259,8,N
40,Correctional,260,267,8,N
41,Nursing Homes,268,275,8,N
42,Mental Hospitals,276,283,8,N
43,Juvenile,284,291,8,N
44,Other,292,299,8,N
45,College,300,307,8,N
46,Military Quarters,308,315,8,N
47,Homeless Shelters,316,323,8,N
48,Visible in Street,324,331,8,N
49,Other,332,339,8,N
50,Males in Armed Forces,340,347,8,N
51,Employed Male Civilians,348,355,8,N
52,Unemployed Male Civilians,356,363,8,N
53,Males Not in Labor Force,364,371,8,N
54,Females in Armed Forces,372,379,8,N
55,Employed Female Civilians,380,387,8,N
56,Unemployed Female Civilians,388,395,8,N
57,Females Not in Labor Force,396,403,8,N
58,Unemployed Civilians,404,411,8,N
59,Employed Civilians,412,419,8,N
60,Civilians Not in Labor Force,420,427,8,N
61,"Under $5,000",428,435,8,N
62,"$5,000 - $9,999",436,443,8,N
63,"$10,000 - $12,499",444,451,8,N
64,"$12,500 - $14,999",452,459,8,N
65,"$15,000 - $17,499",460,467,8,N
66,"$17,500 - $19,999",468,475,8,N
67,"$20,000 - $22,499",476,483,8,N
68,"$22,500 - $24,999",484,491,8,N
69,"$25,000 - $27,499",492,499,8,N
70,"$27,500 - $29,999",500,507,8,N
71,"$30,000 - $32,499",508,515,8,N
72,"$32,500 - $34,999",516,523,8,N
73,"$35,000 - $37,499",524,531,8,N
74,"$37,500 - $39,999",532,539,8,N
75,"$40,000 - $42,499",540,547,8,N
76,"$42,500 - $44,999",548,555,8,N
77,"$45,000 - $47,499",556,563,8,N
78,"$47,500 - $49,999",564,571,8,N
79,"$50,000 - $54,999",572,579,8,N
80,"$55,000 - $59,999",580,587,8,N
81,"$60,000 - $74,999",588,595,8,N
82,"$75,000 - $99,999",596,603,8,N
83,"$100,000 - $124,999",604,611,8,N
84,"$125,000 - $149,999",612,619,8,N
85,"$150,000 and over",620,627,8,N
86,Tract/BNA Median Household Decennial Income,628,635,8,N
87,"Under $5,000",636,643,8,N
88,"$5,000 -$9,999",644,651,8,N
89,"$10,000 - $14,999",652,659,8,N
90,"$15,000 - $24,999",660,667,8,N
91,"$25,000 - $34,999",668,675,8,N
92,"$35,000 - $49,999",676,683,8,N
93,"$50,000 - $74,999",684,691,8,N
94,"$75,000 - $99,999",692,699,8,N
95,"$100,000 and over",700,707,8,N
96,"Under $5,000",708,715,8,N
97,"$5,000 - $9,999",716,723,8,N
98,"$10,000 - $14,999",724,731,8,N
99,"$15,000 - $24,999",732,739,8,N
100,"$25,000 - $34,999",740,747,8,N
101,"$35,000 - $49,999",748,755,8,N
102,"$50,000 - $74,999",756,763,8,N
103,"$75,000 - $99,999",764,771,8,N
104,"$100,000 and over",772,779,8,N
105,"Under $5,000",780,787,8,N
106,"$5,000 - $9,999",788,795,8,N
107,"$10,000 - $14,999",796,803,8,N
108,"$15,000 - $24,999",804,811,8,N
109,"$25,000 - $34,999",812,819,8,N
110,"$35,000 - $49,999",820,827,8,N
111,"$50,000 - $74,999",828,835,8,N
112,"$75,000 - $99,999",836,843,8,N
113,"$100,000 and over",844,851,8,N
114,"Under $5,000",852,859,8,N
115,"$5,000 - $9,999",860,867,8,N
116,"$10,000 - $14,999",868,875,8,N
117,"$15,000 - $24,999",876,883,8,N
118,"$25,000 - $34,999",884,891,8,N
119,"$35,000 - $49,999",892,899,8,N
120,"$50,000 - $74,999",900,907,8,N
121,"$75,000 - $99,999",908,915,8,N
122,"$100,000 and over",916,923,8,N
123,"Under $5,000",924,931,8,N
124,"$5,000 - $9,999",932,939,8,N
125,"$10,000 - $14,999",940,947,8,N
126,"$15,000 - $24,999",948,955,8,N
127,"$25,000 - $34,999",956,963,8,N
128,"$35,000 - $49,999",964,971,8,N
129,"$50,000 - $74,999",972,979,8,N
130,"$75,000 - $99,999",980,987,8,N
131,"$100,000 and over",988,995,8,N
132,Average Household Decennial Income,996,1003,8,N
133,Wage or Salary,1004,1011,8,N
134,Nonfarm Self-Employment,1012,1019,8,N
135,Farm Self-Employment,1020,1027,8,N
136,"Interest, Dividend, or Net Rental",1028,1035,8,N
137,Social Security Income,1036,1043,8,N
138,Public Assistance Income,1044,1051,8,N
139,Retirement Income,1052,1059,8,N
140,Other Type of Income,1060,1067,8,N
141,"Under $5,000",1068,1075,8,N
142,"$5,000 - $9,999",1076,1083,8,N
143,"$10,000 - $12,499",1084,1091,8,N
144,"$12,500 - $14,999",1092,1099,8,N
145,"$15,000 - $17,499",1100,1107,8,N
146,"$17,500 - $19,999",1108,1115,8,N
147,"$20,000 - $22,499",1116,1123,8,N
148,"$22,500 - $24,999",1124,1131,8,N
149,"$25,000 - $27,499",1132,1139,8,N
150,"$27,500 - $29,999",1140,1147,8,N
151,"$30,000 - $32,499",1148,1155,8,N
152,"$32,500 - $34,999",1156,1163,8,N
153,"$35,000 - $37,499",1164,1171,8,N
154,"$37,500 - $39,999",1172,1179,8,N
155,"$40,000 - $42,499",1180,1187,8,N
156,"$42,500 - $44,999",1188,1195,8,N
157,"$45,000 - $47,499",1196,1203,8,N
158,"$47,500 - $49,999",1204,1211,8,N
159,"$50,000 - $54,999",1212,1219,8,N
160,"$55,000 - $59,999",1220,1227,8,N
161,"$60,000 - $74,999",1228,1235,8,N
162,"$75,000 - $99,999",1236,1243,8,N
163,"$100,000 - $124,999",1244,1251,8,N
164,"$125,000 - $149,999",1252,1259,8,N
165,"$150,000 and over",1260,1267,8,N
166,"< $15,000",1268,1275,8,N
167,"$15,000-$24,999",1276,1283,8,N
168,"$25,000-$29,999",1284,1291,8,N
169,"$30,000-$34,999",1292,1299,8,N
170,"$35,000-$39,999",1300,1307,8,N
171,"$40,000-$49,999",1308,1315,8,N
172,"$50,000-$74,999",1316,1323,8,N
173,"$75,000+",1324,1331,8,N
174,Family Count,1332,1339,8,N
175,Decennial MSA Median Income,1340,1347,8,N
176,Decennial Tract/BNA Median Family Income,1348,1355,8,N
177,All Families,1356,1363,8,N
178,White Families,1364,1371,8,N
179,Black Families,1372,1379,8,N
180,Hispanic Families,1380,1387,8,N
181,White Families,1388,1395,8,N
182,Black Families,1396,1403,8,N
183,Hispanic Families,1404,1411,8,N
184,Median Non-Family Decennial Income,1412,1419,8,N
185,Poverty Level Percentage,1420,1425,6,N
186,Married Couple,1426,1433,8,N
187,Other Male,1434,1441,8,N
188,Other Female,1442,1449,8,N
189,Non-Family,1450,1457,8,N
190,Married Couple,1458,1465,8,N
191,Other Male,1466,1473,8,N
192,Other Female,1474,1481,8,N
193,Non-Family,1482,1489,8,N
194,Housing Units Boarded-up Percentage,1490,1495,6,N
195,Total Housing Units,1496,1503,8,N
196,Occupied,1504,1511,8,N
197,Vacant,1512,1519,8,N
198,Vacant Condominium Housing Units,1520,1527,8,N
199,Owner-occupied Condominium Housing Units,1528,1535,8,N
200,Renter-occupied Condominium Housing Units,1536,1543,8,N
201,Owner Occupancy,1544,1551,8,N
202,Renter,1552,1559,8,N
203,1 Unit Detached,1560,1567,8,N
204,1 Unit Attached,1568,1575,8,N
205,2 Units,1576,1583,8,N
206,3&4 Units,1584,1591,8,N
207,Mobile Homes + Other,1592,1599,8,N
208,1-4 Units,1600,1607,8,N
209,5-9 Units,1608,1615,8,N
210,10-19 Units,1616,1623,8,N
211,20-49 Units,1624,1631,8,N
212,50 or more,1632,1639,8,N
213,Mobile Home/Trailer,1640,1647,8,N
214,Other,1648,1655,8,N
215,5 + Units,1656,1663,8,N
216,1 Unit Detached,1664,1671,8,N
217,1 Unit Attached,1672,1679,8,N
218,2 Units,1680,1687,8,N
219,3&4 Units,1688,1695,8,N
220,Mobile Homes + Other,1696,1703,8,N
221,1-4 Units,1704,1711,8,N
222,5 + Units,1712,1719,8,N
223,1 Unit Detached,1720,1727,8,N
224,1 Unit Attached,1728,1735,8,N
225,2 Units,1736,1743,8,N
226,3&4 Units,1744,1751,8,N
227,Mobile Homes + Other,1752,1759,8,N
228,1-4 Units,1760,1767,8,N
229,5+ Units,1768,1775,8,N
230,1 Unit Detached,1776,1783,8,N
231,1 Unit Attached,1784,1791,8,N
232,2 Units,1792,1799,8,N
233,3&4 Units,1800,1807,8,N
234,Mobile Homes + Other,1808,1815,8,N
235,1-4 Units,1816,1823,8,N
236,5 + Units,1824,1831,8,N
237,1989 – March 1990,1832,1839,8,N
238,1985 – 1988,1840,1847,8,N
239,1980 – 1984,1848,1855,8,N
240,1970 – 1979,1856,1863,8,N
241,1960 – 1969,1864,1871,8,N
242,1950 – 1959,1872,1879,8,N
243,1940 – 1949,1880,1887,8,N
244,1939 or earlier,1888,1895,8,N
245,1949 or earlier,1896,1903,8,N
246,Median Age,1904,1911,8,N
247,"Housing Units, All Structure Ages",1912,1919,8,N
248,1989 – March 1990,1920,1927,8,N
249,1985 – 1988,1928,1935,8,N
250,1980 – 1984,1936,1943,8,N
251,"Total, All Years",1944,1951,8,N
